image,score,IoU,Dice,Precision,Recall,F1,PredArea,GtArea,TP,FP
LT_POST_LOWER_TRANS-23_11_23.jpeg,0.9942604303359985,0.6961690885072656,0.8208722741433022,0.7560975609756098,0.8977853492333902,0.8208722741433022,20910,17610,1,0
LT_POST_LOWER_TRANS-23_11_23.jpeg,0.899257242679596,0,0.0,0.0,0,0,22470,0,0,1
LT_POST_LOWER_TRANS-23_11_23.jpeg,0.8041972517967224,0,0.0,0.0,0,0,37101,0,0,1
LT_POST_UPPER_LONG-20_12_31.png,0.9875020980834961,0.7939949958298582,0.8851696885169689,0.8368985524233722,0.9393500855150638,0.8851696885169688,17063,15202,1,0
LT_POST_UPPER_LONG-20_12_31.png,0.9850789308547974,0.8405679012345679,0.9133788551574259,0.928310427574171,0.8989200179556917,0.9133788551574259,36672,37871,1,0
LT_POST_UPPER_LONG-20_25_37.png,0.983254611492157,0.8656411999660066,0.9279825080854552,0.9741153968759961,0.8860216300849546,0.9279825080854552,31370,34489,1,0
LT_POST_UPPER_LONG-20_25_37.png,0.9199172854423523,0.40552589036398373,0.577045066397128,0.41204579392732704,0.9624462271828857,0.577045066397128,20090,8601,0,1
LT_POST_UPPER_TRANS-12_59_31.jpeg,0.9448838829994202,0.28164694456513406,0.4395078469300257,0.9746462264150944,0.2837256803494649,0.43950784693002565,33920,116521,0,1
LT_POST_UPPER_TRANS-12_59_31.jpeg,0.9447544813156128,0.5987907615522468,0.749054567929687,0.9611140234149227,0.6136576239476146,0.749054567929687,74397,116521,1,0
LT_POST_UPPER_TRANS-16_15_34.jpeg,0.9952391386032104,0.8985056039850561,0.9465398491308625,0.9709095226786987,0.9233635713479128,0.9465398491308625,25266,26567,1,0
LT_POST_UPPER_TRANS-16_15_34.jpeg,0.6430447101593018,0,0.0,0.0,0,0,13752,0,0,1
LT_UPPER_POST_TRANS-23_10_49.jpeg,0.9893331527709961,0.8608354537743851,0.9252139430472783,0.989085150444634,0.8690914540160987,0.9252139430472782,41045,46712,1,0
LT_UPPER_POST_TRANS-23_10_49.jpeg,0.9861137270927429,0.5924840977569468,0.7441004887791034,0.5928512805051672,0.9989557462181079,0.7441004887791034,59703,35432,1,0
Left_ant_lower_long-23_13_40.png,0.6572472453117371,0.5413689551620586,0.7024521330198186,0.6575273550496793,0.7539659648110758,0.7024521330198186,7951,6934,1,0
Left_post_lower_trans-23_11_28.png,0.9931473135948181,0.8208305425318151,0.901600147139967,0.828133798851222,0.9893702906350915,0.901600147139967,8879,7432,1,0
Left_post_lower_trans-23_11_28.png,0.9848694801330566,0.7952610996089257,0.8859559200410047,0.9268924836893377,0.8484823693037716,0.8859559200410048,11189,12223,1,0
Left_post_lower_trans-23_11_28.png,0.8818836808204651,0.438054627175291,0.6092322487578138,0.9950261780104712,0.439015939015939,0.6092322487578137,3820,8658,0,1
RT_ANT_LOWER_LONG-12_57_19.jpeg,0.9677829146385193,0.8644558869890262,0.9273009815051894,0.9437833939751532,0.9113843913710966,0.9273009815051892,61014,63183,1,0
RT_ANT_LOWER_LONG-12_57_19.jpeg,0.9515841007232666,0,0.0,0.0,0,0,43411,0,0,1
RT_ANT_LOWER_LONG-13_28_51.jpeg,0.9876264929771423,0.48469964874680005,0.6529261984481826,0.49410550911104706,0.9622100753434776,0.6529261984481826,65909,33845,0,1
RT_ANT_LOWER_LONG-13_28_51.jpeg,0.8676792979240417,0.23083068510660962,0.3750811348786222,0.23836324637468606,0.879583276958463,0.37508113487862227,54547,14782,0,1
RT_ANT_LOWER_LONG-20_10_34.png,0.9491244554519653,0.6769635548625998,0.8073682375501191,0.7333087032247849,0.8980673518195333,0.807368237550119,18947,15471,1,0
RT_ANT_LOWER_LONG-20_10_34.png,0.7950673699378967,0,0.0,0.0,0,0,9467,0,0,1
RT_ANT_LOWER_LONG-20_10_34.png,0.5384892821311951,0,0.0,0.0,0,0,5056,0,0,1
RT_ANT_LOWER_TRANS-13_29_6.jpeg,0.9910814762115479,0.8369068541300527,0.9112131649445082,0.8709761705685619,0.9553479307577668,0.9112131649445083,38272,34892,1,0
RT_ANT_LOWER_TRANS-13_29_6.jpeg,0.9851978421211243,0.9057331328515303,0.9505351166312468,0.9656875420178932,0.9358508532337685,0.9505351166312468,38674,39907,1,0
RT_ANT_LOWER_TRANS-13_29_6.jpeg,0.978165328502655,0.7741455429336772,0.8726967705857682,0.8756429199319207,0.8697703797280226,0.8726967705857682,53467,53828,1,0
RT_ANT_LOWER_TRANS-20_24_19.png,0.9937126040458679,0.6690230879145672,0.8016942279097012,0.940828089471736,0.6984102060843964,0.8016942279097012,18911,25475,1,0
RT_ANT_LOWER_TRANS-20_24_19.png,0.7687093019485474,0,0.0,0.0,0,0,15370,0,0,1
RT_ANT_TRANS-13_57_47.jpeg,0.9949340224266052,0.8541011992560764,0.9213102279409221,0.910196828868234,0.9326983682330695,0.9213102279409221,58528,57116,1,0
RT_ANT_TRANS-13_57_47.jpeg,0.7617558836936951,0,0.0,0.0,0,0,54818,0,0,1
RT_ANT_UPPER_LONG-13_28_14.jpeg,0.9728250503540039,0.43715562174236783,0.6083622610227449,0.43778040141676505,0.9967459890778416,0.6083622610227449,80465,35341,0,1
RT_ANT_UPPER_LONG-13_28_14.jpeg,0.9423763155937195,0,0.0,0.0,0,0,23208,0,0,1
RT_ANT_UPPER_LONG-13_28_14.jpeg,0.9322007298469543,0.7831218211446348,0.8783716422043755,0.860055858347569,0.8974845080784358,0.8783716422043756,36879,35341,1,0
RT_ANT_UPPER_LONG-13_57_21.jpeg,0.9968074560165405,0.8749390353466643,0.9332986500917281,0.9565302800695965,0.9111687339606501,0.9332986500917281,35634,37408,1,0
RT_ANT_UPPER_LONG-13_57_21.jpeg,0.9866047501564026,0.8790943129219612,0.9356574674051179,0.9267731708833219,0.9447137471089567,0.9356574674051179,32174,31563,1,0
RT_ANT_UPPER_LONG-20_23_52.png,0.9359110593795776,0.41693844799917174,0.5885060830806328,0.4440156568719334,0.8724003466204506,0.5885060830806328,18139,9232,0,1
RT_ANT_UPPER_LONG-20_23_52.png,0.8909893035888672,0,0.0,0.0,0,0,13571,0,0,1
RT_ANT_UPPER_LONG-20_23_52.png,0.8613443970680237,0.19476540827403208,0.3260312140362212,0.20036230984936845,0.8745667244367418,0.3260312140362212,40297,9232,0,1
RT_ANT_UPPER_TRANS-16_13_58.jpeg,0.9583463668823242,0,0.0,0.0,0,0,53730,0,0,1
RT_ANT_UPPER_TRANS-16_13_58.jpeg,0.9295132756233215,0.6563134978229318,0.7924991237294077,0.7290982645403377,0.8679765477769247,0.7924991237294076,34112,28654,1,0
RT_ANT_UPPER_TRANS-16_13_58.jpeg,0.9224347472190857,0.8263082242337128,0.9048945991363724,0.9192670066557179,0.8909646881414149,0.9048945991363724,23138,23873,1,0
RT_ANT_UPPER_TRANS-20_24_0.png,0.9778565764427185,0.7361393692777213,0.8480187504577749,0.9015261627906976,0.800507029269417,0.8480187504577749,19264,21695,1,0
RT_LAT_LOWER_TRANS-12_59_5.jpeg,0.9780187606811523,0.8316320435388598,0.908077631064021,0.8948928359722609,0.9216567490235597,0.9080776310640211,140019,135953,1,0
RT_LAT_LOWER_TRANS-16_15_15.jpeg,0.9950025677680969,0.846058150280799,0.9166105088857655,0.8626150612451983,0.9778170315901902,0.9166105088857653,55188,48686,1,0
RT_LAT_LOWER_TRANS-16_15_15.jpeg,0.9900398850440979,0,0.0,0.0,0,0,46297,0,0,1
